종목,만기월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
DIA,12,위,-6.5,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-7.0,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-7.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-7.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-7.0,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-7.0,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-7.5,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-7.5,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-7.5,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-7.5,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-7.5,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-8.0,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-8.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-8.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-8.0,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-8.0,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-8.5,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-8.5,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-8.5,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-8.5,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-8.5,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-9.0,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-9.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-9.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-9.0,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-9.0,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-9.5,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-9.5,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-9.5,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-9.5,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-9.5,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,12,위,-10.0,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,12,위,-10.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,12,위,-10.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,12,위,-10.0,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,12,위,-10.0,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
